Brij,pH,acetonitril,pol,H-don,H-acc,H,logP,Mass,MW,MR,Eb,Ecd,Ed,Non-1.4 VDW E,Stretch E,Stretch Bend E,Torsion E (Et),Total Energy (E),"VDW 1,4 Energy",Diam,Tindex,Rad,ShpA,ShpC,SAS,Marea,SEV,LUMO,HOMO,k
25,3.5,15,26.19,1,4,8.2226,2.52,253.087,253.73,6.8067,10.3333,0,-4.75642,-1.14038,5.36466,-9.60E-03,-3.57842,14.8652,8.65212,11,4174,6,15.0588,0.833333,481.525,248.954,208.901,47,46,9.72199
15,3.5,25,26.19,1,4,8.2226,2.52,253.087,253.73,6.8067,10.3333,0,-4.75642,-1.14038,5.36466,-9.60E-03,-3.57842,14.8652,8.65212,11,4174,6,15.0588,0.833333,481.525,248.954,208.901,47,46,6.79873
25,3.5,25,26.19,1,4,8.2226,2.52,253.087,253.73,6.8067,10.3333,0,-4.75642,-1.14038,5.36466,-9.60E-03,-3.57842,14.8652,8.65212,11,4174,6,15.0588,0.833333,481.525,248.954,208.901,47,46,5.58214
20,3,15,26.19,1,4,8.2226,2.52,253.087,253.73,6.8067,10.3333,0,-4.75642,-1.14038,5.36466,-9.60E-03,-3.57842,14.8652,8.65212,11,4174,6,15.0588,0.833333,481.525,248.954,208.901,47,46,11.26289
20,4,15,26.19,1,4,8.2226,2.52,253.087,253.73,6.8067,10.3333,0,-4.75642,-1.14038,5.36466,-9.60E-03,-3.57842,14.8652,8.65212,11,4174,6,15.0588,0.833333,481.525,248.954,208.901,47,46,11.26083
20,3,25,26.19,1,4,8.2226,2.52,253.087,253.73,6.8067,10.3333,0,-4.75642,-1.14038,5.36466,-9.60E-03,-3.57842,14.8652,8.65212,11,4174,6,15.0588,0.833333,481.525,248.954,208.901,47,46,5.97219
20,4,25,26.19,1,4,8.2226,2.52,253.087,253.73,6.8067,10.3333,0,-4.75642,-1.14038,5.36466,-9.60E-03,-3.57842,14.8652,8.65212,11,4174,6,15.0588,0.833333,481.525,248.954,208.901,47,46,5.98696
20,3.5,20,26.19,1,4,8.2226,2.52,253.087,253.73,6.8067,10.3333,0,-4.75642,-1.14038,5.36466,-9.60E-03,-3.57842,14.8652,8.65212,11,4174,6,15.0588,0.833333,481.525,248.954,208.901,47,46,8.74473
20,3.5,20,26.19,1,4,8.2226,2.52,253.087,253.73,6.8067,10.3333,0,-4.75642,-1.14038,5.36466,-9.60E-03,-3.57842,14.8652,8.65212,11,4174,6,15.0588,0.833333,481.525,248.954,208.901,47,46,8.74726
20,3.5,20,26.19,1,4,8.2226,2.52,253.087,253.73,6.8067,10.3333,0,-4.75642,-1.14038,5.36466,-9.60E-03,-3.57842,14.8652,8.65212,11,4174,6,15.0588,0.833333,481.525,248.954,208.901,47,46,8.69924
20,3.5,20,26.19,1,4,8.2226,2.52,253.087,253.73,6.8067,10.3333,0,-4.75642,-1.14038,5.36466,-9.60E-03,-3.57842,14.8652,8.65212,11,4174,6,15.0588,0.833333,481.525,248.954,208.901,47,46,8.71104
15,3,20,47.69,2,7,4.2792,1.38,463.9930464,465.2432031,12.45240071,23.49164253,-1.70580672,-3.048156961,-6.374681319,8.186093353,0.08640659,12.61990313,57.04454958,23.78909284,18,24013.1301,9,29.0323,1,735.3652519,412.4793188,383.5651097,85,84,4.783333333
25,3,20,47.69,2,7,4.2792,1.38,463.9930464,465.2432031,12.45240071,23.49164253,-1.70580672,-3.048156961,-6.374681319,8.186093353,0.08640659,12.61990313,57.04454958,23.78909284,18,24013.1301,9,29.0323,1,735.3652519,412.4793188,383.5651097,85,84,3.535833333
15,4,20,47.2,1,8,4.2792,3.02,463.4955984,464.7462486,12.40862726,20.80004418,-4.133485712,-2.114371066,-3.690322614,7.903609018,0.0902064,8.65648125,50.97815148,23.46594904,18,23915.9106,9,29.0323,1,735.1959814,411.8693528,381.3892682,84,83,5.34917
25,4,20,47.2,1,8,4.2792,3.02,463.4955984,464.7462486,12.40862726,20.80004418,-4.133485712,-2.114371066,-3.690322614,7.903609018,0.0902064,8.65648125,50.97815148,23.46594904,18,23915.9106,9,29.0323,1,735.1959814,411.8693528,381.3892682,84,83,5.385833333
15,3.5,15,47.69,2,7,4.2792,2.09,463.7762256,465.0265974,12.43332134,22.31846562,-2.763950086,-2.641151194,-5.204659926,8.062967962,0.08806286,10.89238125,54.40041132,23.64824536,18,23970.7554,9,29.0323,1,735.2914726,412.2134552,382.6167338,85,84,6.5275
25,3.5,15,47.69,2,7,4.2792,2.09,463.7762256,465.0265974,12.43332134,22.31846562,-2.763950086,-2.641151194,-5.204659926,8.062967962,0.08806286,10.89238125,54.40041132,23.64824536,18,23970.7554,9,29.0323,1,735.2914726,412.2134552,382.6167338,85,84,4.739166667
15,3.5,25,47.69,2,7,4.2792,2.09,463.7762256,465.0265974,12.43332134,22.31846562,-2.763950086,-2.641151194,-5.204659926,8.062967962,0.08806286,10.89238125,54.40041132,23.64824536,18,23970.7554,9,29.0323,1,735.2914726,412.2134552,382.6167338,85,84,4.5025
25,3.5,25,47.69,2,7,4.2792,2.09,463.7762256,465.0265974,12.43332134,22.31846562,-2.763950086,-2.641151194,-5.204659926,8.062967962,0.08806286,10.89238125,54.40041132,23.64824536,18,23970.7554,9,29.0323,1,735.2914726,412.2134552,382.6167338,85,84,3.425
20,3,15,47.69,2,7,4.2792,1.38,463.9930464,465.2432031,12.45240071,23.49164253,-1.70580672,-3.048156961,-6.374681319,8.186093353,0.08640659,12.61990313,57.04454958,23.78909284,18,24013.1301,9,29.0323,1,735.3652519,412.4793188,383.5651097,85,84,6.216666667
20,4,15,47.2,1,8,4.2792,3.02,463.4955984,464.7462486,12.40862726,20.80004418,-4.133485712,-2.114371066,-3.690322614,7.903609018,0.0902064,8.65648125,50.97815148,23.46594904,18,23915.9106,9,29.0323,1,735.1959814,411.8693528,381.3892682,84,83,6.110833333
20,3,25,47.69,2,7,4.2792,1.38,463.9930464,465.2432031,12.45240071,23.49164253,-1.70580672,-3.048156961,-6.374681319,8.186093353,0.08640659,12.61990313,57.04454958,23.78909284,18,24013.1301,9,29.0323,1,735.3652519,412.4793188,383.5651097,85,84,2.566666667
20,4,25,47.2,1,8,4.2792,3.02,463.4955984,464.7462486,12.40862726,20.80004418,-4.133485712,-2.114371066,-3.690322614,7.903609018,0.0902064,8.65648125,50.97815148,23.46594904,18,23915.9106,9,29.0323,1,735.1959814,411.8693528,381.3892682,84,83,5.510833333
20,3.5,20,47.69,2,7,4.2792,2.09,463.7762256,465.0265974,12.43332134,22.31846562,-2.763950086,-2.641151194,-5.204659926,8.062967962,0.08806286,10.89238125,54.40041132,23.64824536,18,23970.7554,9,29.0323,1,735.2914726,412.2134552,382.6167338,85,84,5.33083
20,3.5,20,47.69,2,7,4.2792,2.09,463.7762256,465.0265974,12.43332134,22.31846562,-2.763950086,-2.641151194,-5.204659926,8.062967962,0.08806286,10.89238125,54.40041132,23.64824536,18,23970.7554,9,29.0323,1,735.2914726,412.2134552,382.6167338,85,84,5.135833333
20,3.5,20,47.69,2,7,4.2792,2.09,463.7762256,465.0265974,12.43332134,22.31846562,-2.763950086,-2.641151194,-5.204659926,8.062967962,0.08806286,10.89238125,54.40041132,23.64824536,18,23970.7554,9,29.0323,1,735.2914726,412.2134552,382.6167338,85,84,5.205833333
20,3.5,20,47.69,2,7,4.2792,2.09,463.7762256,465.0265974,12.43332134,22.31846562,-2.763950086,-2.641151194,-5.204659926,8.062967962,0.08806286,10.89238125,54.40041132,23.64824536,18,23970.7554,9,29.0323,1,735.2914726,412.2134552,382.6167338,85,84,5.66667
